InformationDate,EnergyClassifier,DataSource,Location,Product,Fuel_Price,FuelPrice_MoM_Change,FuelPrice_MoM_Percentage
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),1969.69,-80.00,-4.30
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),1859.09,-84.00,-3.77
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2230.0,-71.00,-2.08
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3407.0,75.00,3.88
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),1931.29,-84.00,-3.77
2023-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2230.0,-71.00,-3.65
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),1943.09,-73.54,-3.20
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2301.0,37.00,1.87
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),1977.49,-47.54,-2.32
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2049.69,-47.54,-2.10
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2262.0,37.00,1.20
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3073.0,-444.00,-19.30
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2301.0,37.00,1.59
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2334.0,37.00,2.75
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1346.558,-33.00,-0.99
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3332.0,-444.00,-19.63
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2262.0,37.00,2.57
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1439.058,-33.00,-1.64
2023-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2015.29,-73.54,-3.31
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2225.0,-5.00,-0.34
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1472.058,-124.90,-5.44
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2297.0,2.00,0.10
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2025.03,-81.58,-4.05
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2016.63,-80.58,-2.13
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3776.0,-92.00,-4.06
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2264.0,-1.00,-0.05
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2088.83,-73.58,-3.25
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2264.0,-1.00,-0.04
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2225.0,-5.00,-0.24
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2097.23,-74.58,-2.12
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3517.0,-93.00,-6.74
2023-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1379.558,-138.20,-6.20
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2230.0,127.00,8.37
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1517.758,13.00,0.60
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2162.41,30.38,1.90
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1596.958,13.00,0.57
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2295.0,127.00,6.06
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2097.21,30.38,1.40
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2171.81,31.38,1.49
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2106.61,31.38,1.41
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2230.0,127.00,3.28
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3868.0,522.00,23.05
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2265.0,127.00,5.61
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2265.0,127.00,3.52
2023-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3610.0,523.00,15.63
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3346.0,-140.00,-8.84
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1583.958,58.00,2.71
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2138.0,28.00,1.35
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2066.83,9.16,0.44
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2103.0,28.00,1.86
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1504.758,58.00,2.79
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2075.23,-0.84,-0.03
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3087.0,-140.00,-6.57
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2132.03,9.16,0.43
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2140.43,-0.84,-0.04
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2138.0,28.00,1.29
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2168.0,28.00,1.33
2023-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2103.0,28.00,1.94
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1446.758,-193.00,-5.98
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3227.0,81.00,3.84
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2110.0,-206.00,-9.63
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2140.0,-206.00,-9.93
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2075.0,-206.00,-9.70
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2122.87,-268.90,-12.95
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2076.07,-280.90,-18.41
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1525.958,-193.00,-9.01
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2141.27,-280.90,-8.06
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3486.0,82.00,3.99
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2057.67,-268.90,-12.74
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2110.0,-206.00,-9.93
2023-01-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2075.0,-206.00,-8.61
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2391.77,-157.19,-6.49
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2422.17,-152.19,-6.67
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2281.0,59.00,2.55
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2316.0,59.00,2.54
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2326.57,-157.19,-9.14
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1718.958,-57.33,-1.82
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3146.0,78.00,3.32
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2346.0,59.00,1.73
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3404.0,95.00,5.79
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1639.758,-57.33,-2.48
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2316.0,59.00,2.59
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2281.0,59.00,2.50
2022-12-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2356.97,-152.19,-6.85
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2222.0,51.00,3.01
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1697.088,77.00,4.33
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1776.288,77.00,3.02
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2548.96,142.86,6.33
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2257.0,51.00,2.30
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2222.0,51.00,2.26
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2257.0,51.00,1.98
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2574.36,143.86,4.35
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3309.0,-98.00,-4.29
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2287.0,51.00,2.03
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2509.16,143.86,5.79
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2483.76,142.86,4.66
2022-11-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3068.0,-98.00,-6.05
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1620.088,-61.00,-2.61
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2340.9,10.00,0.45
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2206.0,-89.00,-2.61
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3407.0,19.00,0.80
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2365.3,15.00,0.68
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2206.0,-89.00,-5.24
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1699.288,-61.00,-2.81
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2171.0,-102.00,-4.70
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2171.0,-102.00,-4.24
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2406.1,10.00,0.41
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2430.5,15.00,0.67
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2236.0,-102.00,-3.22
2022-10-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3166.0,20.00,1.19
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1681.088,-82.00,-3.52
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2330.9,-56.34,-2.40
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2350.3,-46.34,-2.04
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2273.0,-204.00,-8.89
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2295.0,-204.00,-8.45
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2415.5,-46.34,-1.98
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2338.0,-204.00,-6.02
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3388.0,-165.00,-7.26
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2273.0,-204.00,-8.51
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2396.1,-56.34,-3.20
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1760.288,-82.00,-3.57
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2295.0,-204.00,-6.48
2022-09-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3146.0,-165.00,-6.88
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2396.64,-91.00,-2.56
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3553.0,57.00,2.32
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2452.44,-88.00,-4.78
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1842.288,-144.00,-4.35
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3311.0,56.00,2.26
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2477.0,-132.00,-7.49
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1763.088,-144.00,-5.81
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2477.0,-132.00,-5.28
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2499.0,-132.00,-5.53
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2387.24,-88.00,-3.52
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2499.0,-132.00,-5.19
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2542.0,-132.00,-5.36
2022-08-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2461.84,-91.00,-3.46
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2631.0,237.00,8.86
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2674.0,257.00,9.77
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2631.0,237.00,9.28
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2552.84,230.00,6.58
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3496.0,-218.00,-8.58
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2540.44,231.00,9.29
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2487.64,230.00,7.07
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3255.0,-217.00,-11.38
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1907.088,165.20,6.33
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2609.0,257.00,9.85
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2609.0,257.00,12.94
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1986.288,166.00,6.71
2022-07-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2475.24,231.00,12.69
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1820.29,156.00,4.20
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3714.0,-51.00,-2.17
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2352.0,243.00,10.52
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2309.44,110.00,4.59
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2394.0,243.00,10.15
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2394.0,243.00,13.95
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1741.89,156.00,6.95
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2244.24,110.00,4.55
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2417.0,233.00,10.32
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2257.64,107.00,3.08
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3472.0,-51.00,-2.20
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2322.84,107.00,4.55
2022-06-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2352.0,243.00,11.13
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2184.0,-12.00,-0.34
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3523.0,69.00,3.23
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2134.24,94.30,4.29
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2199.44,98.00,4.56
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2150.64,88.30,4.19
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2109.0,-15.00,-0.70
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2151.0,-12.00,-0.57
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2109.0,-15.00,-0.68
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2215.84,92.00,4.28
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2151.0,-12.00,-0.76
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1585.89,83.10,4.99
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1664.29,79.60,2.11
2022-05-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3765.0,69.00,1.87
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3696.0,250.00,11.90
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),2101.44,152.56,7.18
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2124.0,36.00,1.66
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2163.0,28.00,0.81
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3454.0,250.00,11.77
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),2123.84,168.56,8.26
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),2039.94,152.56,7.18
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2124.0,36.00,1.66
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2163.0,28.00,1.28
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2196.0,36.00,2.40
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1502.79,266.00,12.90
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),2062.34,168.56,10.64
2022-04-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1584.69,266.00,12.31
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2160.0,146.00,11.80
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,ILLUMINATING PARAFFIN (C/L),1236.79,121.00,6.39
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.005% (C/L),1893.78,148.36,7.11
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),2088.0,146.00,4.24
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3446.0,70.00,5.31
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,ILLUMINATING PARAFFIN (C/L),1318.69,121.00,5.67
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 ULP (C/L),2135.0,146.00,7.47
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),1955.28,148.36,7.61
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),1948.88,144.36,7.65
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),1887.38,144.36,6.76
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),2135.0,146.00,6.99
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 LRP (C/L),2088.0,146.00,4.56
2022-03-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3204.0,70.00,3.88
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.05% (C/L),1804.52,79.84,2.55
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,LIQUEFIED PETROLEUM GAS (C/KG),3134.0,-125.00,-6.28
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,93 LRP (C/L),1989.0,53.00,2.93
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,DIESEL 0.005% (C/L),1806.92,78.84,3.91
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,95 ULP (C/L),2014.0,53.00,2.73
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,95 ULP (C/L),1942.0,53.00,1.57
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,GAUTENG,LIQUEFIED PETROLEUM GAS (C/KG),3376.0,-124.00,-7.11
2022-02-01,Liquid/gas Fuel,fuelsindustry.org.za,COASTAL,DIESEL 0.05% (C/L),1743.02,79.84,6.67
